id;annee;;age;remuneration;Indice.prix.base.100.2015;Taux.remplacement.liquidation;Indice;Indice.non.pct;Remu.nette.deflatee;Facteur.net
Cas 1 gen 1981 ageLiq 64;2039;104311,2;58;162864,8;156,10%;42,54%;;156,13;83448,96;
Cas 1 gen 1981 ageLiq 64;2040;105118,1;59;166996,9;158,90%;42,54%;;158,87;84094,48;
Cas 1 gen 1981 ageLiq 64;2041;106744,3;60;172548;161,70%;42,54%;;161,65;85395,44;
Cas 1 gen 1981 ageLiq 64;2042;108194,7;61;177953,2;164,50%;42,54%;;164,47;86555,76;
Cas 1 gen 1981 ageLiq 64;2043;109567,2;62;183364,2;167,40%;42,54%;;167,35;87653,76;
Cas 1 gen 1981 ageLiq 64;2044;110922,2;63;188880,4;170,30%;42,54%;;170,28;88737,76;
Cas 1 gen 1981 ageLiq 64;2045;112422,9;64;194786;173,30%;42,54%;;173,26;89938,32;
Cas 1 gen 1982 ageLiq 64;2006;20356,8;24;18184,7;89,30%;42,28%;;89,33;16285,44;
Cas 1 gen 1982 ageLiq 64;2007;20883,3;25;18932,8;90,70%;42,28%;;90,66;16706,64;
Cas 1 gen 1982 ageLiq 64;2008;39050,9;26;36399,3;93,20%;42,28%;;93,21;31240,72;
Cas 1 gen 1982 ageLiq 64;2009;43079,5;27;40188,9;93,30%;42,28%;;93,29;34463,6;
Cas 1 gen 1982 ageLiq 64;2010;46775,5;28;44301,1;94,70%;42,28%;;94,71;37420,4;
Cas 1 gen 1982 ageLiq 64;2011;49646;29;48012,6;96,70%;42,28%;;96,71;39716,8;
Cas 1 gen 1982 ageLiq 64;2012;52649,8;30;51912,7;98,60%;42,28%;;98,6;42119,84;
Cas 1 gen 1982 ageLiq 64;2013;54167,9;31;53875,4;99,50%;42,28%;;99,46;43334,32;
Cas 1 gen 1982 ageLiq 64;2014;57412,3;32;57389,3;100,00%;42,28%;;99,96;45929,84;
Cas 1 gen 1982 ageLiq 64;2015;60972,7;33;60972,7;100,00%;42,28%;;100;48778,16;
Cas 1 gen 1982 ageLiq 64;2016;64525,1;34;64641,2;100,20%;42,28%;;100,18;51620,08;
Cas 1 gen 1982 ageLiq 64;2017;67634;35;68459,2;101,20%;42,28%;;101,22;54107,2;
Cas 1 gen 1982 ageLiq 64;2018;67834,4;36;69930,5;103,10%;42,28%;;103,09;54267,52;
Cas 1 gen 1982 ageLiq 64;2019;68777,8;37;71687,1;104,20%;42,28%;;104,23;55022,24;
Cas 1 gen 1982 ageLiq 64;2020;66276,6;38;69411,5;104,70%;42,28%;;104,73;53021,28;
Cas 1 gen 1982 ageLiq 64;2021;67700;39;72066,7;106,50%;42,28%;;106,45;54160;
Cas 1 gen 1982 ageLiq 64;2022;68435,2;40;76654,3;112,00%;42,28%;;112,01;54748,16;
